"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Description 3","Meta Description 3 Length","Meta Description 3 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","Meta Keyword 2","Meta Keywords 2 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://www.samsung.com/uk/smartenergy/","text/html; charset=UTF-8","200","OK","Indexable","","Samsung SmartThings Energy Control | Samsung UK","47","465","","0","0","Learn more about how you can gain control over your home's energy through the SmartThings app, and make informed decisions about your energy use.","145","967","","0","0","","0","0","smartenergy, samsung smartthings, smartthings, smart energy, energy control","75","","0","","0","","0","","0","What are you looking for?","25","","","","https://www.samsung.com/uk/smartenergy/","","","","","","911591","522","1.683","1","","357","286","94.390","614","264","20","13","","","","","984244426b2a37a111832b8bbfce9195","0.263","Tue, 19 Jan 2021 12:36:45 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/smartenergy/"
"https://www.samsung.com/uk/mobile-accessories/","text/html; charset=UTF-8","200","OK","Indexable","","Mobile Accessories: Cases, Chargers & Audio | Samsung UK","56","537","","0","0","Discover Samsung's full line of mobile accessories, from phone chargers and cases to wearable accessories and tablet accessories. Get more from your device.","156","1007","","0","0","","0","0","Samsung Accessory, Samsung Accessories","38","","0","Mobile-accessories","18","","0","","0","Remove","6","","","","https://www.samsung.com/uk/mobile-accessories/","","","","","","331398","531","3.087","1","","637","286","94.390","363","268","14","11","","","","","11d2cf2bb3fd41bc7ac85f3e3116f34f","0.043","Tue, 19 Jan 2021 10:14:52 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/mobile-accessories/"
"https://www.samsung.com/uk/audio-accessories/","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","162","0","0.000","1","","329","286","94.390","0","0","0","0","","","","","","0.129","","https://www.samsung.com/uk/audio-accessories/all-audio-accessories/","HTTP Redirect","","HTTP/1.1","https://www.samsung.com/uk/audio-accessories/"
"https://www.samsung.com/uk/apps/smartthings/","text/html; charset=UTF-8","200","OK","Indexable","","SmartThings | Apps & Services | Samsung UK","42","404","","0","0","Make life easier by automating your home with SmartThings. Control and monitor your compatible devices through a single app and build your own smart home","153","999","","0","0","","0","0","SmartThings, Connect device, appliance, IoT, Control, Remote, smartphone, SmartThings Find, Automation, Home Monitoring","119","","0","SmartThings","11","","0","","0","What are you looking for?","25","","","","https://www.samsung.com/uk/apps/smartthings/","","","","","","1225121","1297","1.637","1","","379","286","94.390","636","263","21","15","","","","","351139bd1004f9a80183d5d0ced84d30","0.049","Tue, 19 Jan 2021 08:45:31 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/apps/smartthings/"
"https://www.samsung.com/uk/info/privacy/","text/html; charset=UTF-8","200","OK","Indexable","","Privacy | Samsung UK","20","195","","0","0","Samsung Electronics (UK) Limited - Website Privacy and Cookies Policy","69","451","","0","0","","0","0","samsung, samsung.com, samsung electronics, samsung website, privacy.","68","","0","PRIVACY","7","","0","","0","Remove","6","","","","https://www.samsung.com/uk/info/privacy/","","","","","","396940","11547","20.157","1","","618","292","96.370","364","262","27","19","","","","","5d73c579b48f92f540a53f47ec33e7e6","0.151","Tue, 19 Jan 2021 10:44:50 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/info/privacy/"
"https://www.samsung.com/uk/refrigerators/all-refrigerators/?smart","text/html;charset=utf-8","200","OK","Non-Indexable","Canonicalised","Samsung Fridge Freezers & Refrigerators | Samsung UK","52","499","","0","0","Discover the full range of Samsung refrigerators and fridge freezers at Samsung UK. Compare models by price and features that matter to you.","140","899","","0","0","","0","0","Family Hub, Multi-Door, Food ShowCase, American Style, Fridge Freezer, Freezer Fridge Filter","92","","0","Refrigerators","13","","0","","0","Remove","6","","","","https://www.samsung.com/uk/refrigerators/all-refrigerators/","","","","","","331276","498","3.062","1","","350","286","94.390","358","264","14","11","","","","","aceef3a9672417fee456e009d4b31d7f","0.345","","","","","HTTP/1.1","https://www.samsung.com/uk/refrigerators/all-refrigerators/?smart"
"https://www.samsung.com/uk/monitors/all-monitors/","text/html; charset=UTF-8","200","OK","Indexable","","Samsung Monitors | View the Monitor Range | Samsung UK","54","523","","0","0","Discover the full range of Samsung monitors at Samsung UK. Compare models by price and features that matter to you.","115","752","","0","0","","0","0","Samsung monitors, Samsung computer monitors, Samsung PC monitors, Samsung Curved monitors, Samsung Gaming monitors, Samsung UHD monitors, Samsung business monitors","163","","0","Monitors","8","","0","","0","Remove","6","","","","https://www.samsung.com/uk/monitors/all-monitors/","","","","","","325751","428","2.948","1","","678","286","94.390","352","261","14","11","","","","","1ad2b044c755c351b75302c3c52f39d6","0.171","Tue, 19 Jan 2021 08:51:16 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/monitors/all-monitors/"
"https://www.samsung.com/uk/smartphones/galaxy-s21-ultra-5g/","text/html; charset=UTF-8","200","OK","Indexable","","Samsung Galaxy S21 Ultra 5G | Samsung UK","40","400","Document","8","88","Galaxy S21 Ultra 5G, epic in every way. Its camera revolutionises photography and 8K video with 108MP resolution, a 5nm processor and an all-day battery.","153","981","","0","0","","0","0","samsung galaxy s21 ultra 5g, samsung s21 ultra 5g, colour, 8k video, 100x space zoom, 108mp, 5nm processor, battery, gorilla glass victus, s21 ultra specs","154","","0","Galaxy S21 Ultra 5G","19","","0","","0","Remove","6","","","","https://www.samsung.com/uk/smartphones/galaxy-s21-ultra-5g/","","","","","","704418","3185","3.627","1","","723","286","94.390","389","267","14","11","","","","","ade127d628b1dcfb29bd4c2c8c875198","0.043","Tue, 19 Jan 2021 10:42:09 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/smartphones/galaxy-s21-ultra-5g/"
"https://www.samsung.com/uk/offer/tvs/","text/html; charset=UTF-8","200","OK","Indexable","","Samsung TV Boxing Day + January Sale Deals | Samsung UK","55","542","","0","0","Save big on Samsung TVs with our Farewell 2020 Sale, with offers extended on Boxing Day. Explore all our TV deals, including 4K & 8K QLED Smart TVs.","148","967","","0","0","","0","0","tvs","3","","0","","0","","0","","0","Remove","6","","","","https://www.samsung.com/uk/offer/tvs/","","","","","","314950","707","3.601","1","","331","286","94.390","346","264","14","11","","","","","7664ce77752abd03fbcbb97197bf24d4","0.140","Tue, 19 Jan 2021 09:45:39 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/offer/tvs/"
"https://www.samsung.com/uk/home-appliances/learn/","text/html; charset=UTF-8","200","OK","Indexable","","Home Appliances Buying Guide | Samsung UK","41","405","","0","0","Whether you’re after a new fridge freezer or want a washing machine that meets the needs of your growing family, make sure your home appliances measure up with a little help from our product guides.
","200","1266","","0","0","","0","0","Buying guides, Product guides, Samsung Home Appliances, Refrigerator Buying Guide, Hob Buying Guide, Tumble Dryer Buying Guide, Microwave Buying Guide","150","","0","learn","5","","0","","0","What are you looking for?","25","","","","https://www.samsung.com/uk/home-appliances/learn/","","","","","","875916","342","1.615","1","","357","286","94.390","627","273","17","11","","","","","b004cfae38e681fa3a679e70db93f080","0.216","Tue, 19 Jan 2021 09:09:01 GMT","","","","HTTP/1.1","https://www.samsung.com/uk/home-appliances/learn/"
